request_index,phase,logical_call,attempt,status,model,response_id,duplicate_response_id,utc,monotonic_ns,latency_s,stop_reason,input_uncached,cache_write,cache_read,output,thinking,write_5m,write_1h,service_tier,inference_geo,error,input_total,tokens_total,cost_usd
1,A,0,0,200,claude-opus-5-5,msg_011CfN4mnPXbQZv6jHRcdX3Z,False,2026-09-24T09:57:19.091391+00:00,1835637333592418,7.604515942,tool_use,4,6148,0,248,68,6148,0,standard,global,,6152,6400,0.035716
2,A,1,0,200,claude-opus-5-5,msg_011CfN4nktmVxKwECwHAGdcq,False,2026-09-24T09:57:28.231157+00:00,1835646473357688,10.734604412,tool_use,4,1743,6148,199,0,1743,0,standard,global,,7895,8094,0.013940600000000001
3,A,2,0,200,claude-opus-5-5,msg_011CfN4oKU5n8YmHNBVm7Rky,False,2026-09-24T09:57:38.979859+00:00,1835657222059230,7.075815586,tool_use,2,232,7891,159,0,232,0,standard,global,,8125,8284,0.0059261999999999995
4,A,3,0,200,claude-opus-5-5,msg_011CfN4pnMdXHgAQbCMW32bk,False,2026-09-24T09:57:57.723152+00:00,1835675965352755,8.349673942,tool_use,4,1654,8123,183,0,1654,0,standard,global,,9781,9964,0.0135706
5,A,4,0,200,claude-opus-5-5,msg_011CfN4rF7jkZ4kBFascz5DC,False,2026-09-24T09:58:16.610105+00:00,1835694852305007,11.144929906,tool_use,4,1677,9777,268,0,1677,0,standard,global,,11458,11726,0.0157164
6,A,5,0,200,claude-opus-5-5,msg_011CfN4s542LBz8WKagyrvUc,False,2026-09-24T09:58:27.980388+00:00,1835706222588672,13.539021513,tool_use,2,552,11454,657,454,552,0,standard,global,,12008,12665,0.018198799999999998
7,A,6,0,200,claude-opus-5-5,msg_011CfN4t5jEeJVdrg6YAnjiw,False,2026-09-24T09:58:41.542713+00:00,1835719784913145,10.60082917,tool_use,2,990,12006,310,121,990,0,standard,global,,12998,13308,0.0135592
8,A,7,0,200,claude-opus-5-5,msg_011CfN4tqVmABWJQuZZbdrJa,False,2026-09-24T09:58:52.166438+00:00,1835730408638507,9.784996065,tool_use,2,643,12996,268,70,643,0,standard,global,,13641,13909,0.011182200000000002
9,A,8,0,200,claude-opus-5-5,msg_011CfN4wX64gkGq6bUoB5TCn,False,2026-09-24T09:59:11.506928+00:00,1835749749127967,26.303600446,tool_use,4,1755,13639,142,22,1755,0,standard,global,,15398,15540,0.0143588
10,A,9,0,200,claude-opus-5-5,msg_011CfN4yyNuaSt39a2GHEPVB,False,2026-09-24T09:59:42.184411+00:00,1835780426611518,28.941569003,tool_use,4,1630,15394,144,18,1630,0,standard,global,,17028,17172,0.0141248
